id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Jules Angst,Jules,Angst,psychiatrist,medicine,University of Zurich,Switzerland,,,translation,4,Angst,"His surname matches the German word for anxiety, his research specialty.","German: anxiety, dread",birth_name,https://en.wikipedia.org/wiki/Jules_Angst,https://en.wiktionary.org/wiki/Angst,https://en.wikipedia.org/wiki/Aptronym,,verified
,Michael Ball,Michael,Ball,footballer,sports,,England,,,semantic,4,Ball,His surname is the object central to association football.,,birth_name,https://en.wikipedia.org/wiki/Michael_Ball_(footballer),,https://en.wikipedia.org/wiki/Aptronym,,verified
,Layne Beachley,Layne,Beachley,surfer,sports,,Australia,,,semantic,4,Beachley,Her surname evokes beaches where surfing takes place.,,birth_name,https://en.wikipedia.org/wiki/Layne_Beachley,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Alexander Graham Bell,Alexander,Bell,inventor,science,,United States,1847,1922,semantic,5,Bell,"He invented the telephone, an instrument that rings a bell.",,birth_name,https://en.wikipedia.org/wiki/Alexander_Graham_Bell,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Bert Beveridge,Bert,Beveridge,vodka distiller,business,Tito's Handmade Vodka,United States,,,semantic,5,Beveridge,"His surname is a near-homophone of beverage, fitting a spirits founder.",,birth_name,https://en.wikipedia.org/wiki/Tito%27s_Vodka,,https://en.wikipedia.org/wiki/Aptronym,Known professionally as Tito Beveridge.,verified
,Ian Bishop,Ian,Bishop,Anglican bishop,religion,Church of England,England,,,direct,5,Bishop,His surname is the ecclesiastical office he holds.,,birth_name,https://en.wikipedia.org/wiki/Ian_Bishop_(bishop),,https://en.wikipedia.org/wiki/Aptronym,,verified
,Doctor Willard Bliss,Doctor,Bliss,physician,medicine,,United States,1825,1889,direct,5,Doctor,"His given name is literally Doctor, and he became a physician.",,legal_name,https://en.wikipedia.org/wiki/Doctor_Willard_Bliss,,https://en.wikipedia.org/wiki/Aptronym,Parents named him Doctor Willard Bliss after the physician who delivered him; confirmed NYT 9 July 1881.,verified
,Sara Blizzard,Sara,Blizzard,weather presenter,weather,BBC,England,,,semantic,5,Blizzard,"Her surname names a severe winter storm, fitting a meteorologist.",,birth_name,https://en.wikipedia.org/wiki/Sara_Blizzard,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Usain Bolt,Usain,Bolt,sprinter,sports,,Jamaica,1986,,semantic,5,Bolt,A bolt means to run suddenly and fast.,,birth_name,https://en.wikipedia.org/wiki/Usain_Bolt,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Russell Brain,Russell,Brain,neurologist,medicine,,England,1895,1966,semantic,5,Brain,His surname is the organ studied by neurologists.,,birth_name,"https://en.wikipedia.org/wiki/Russell_Brain,_1st_Baron_Brain",,https://en.wikipedia.org/wiki/Aptronym,,verified
,Rosalind Brewer,Rosalind,Brewer,corporate executive,business,Starbucks,United States,,,semantic,4,Brewer,"Her surname matches brewing, relevant to her Molson Coors and Starbucks roles.",,birth_name,https://en.wikipedia.org/wiki/Rosalind_Brewer,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Thomas Crapper,Thomas,Crapper,sanitary engineer,trades,,England,1836,1910,semantic,4,Crapper,His surname became slang for a toilet though he did not invent the flush toilet.,,birth_name,https://en.wikipedia.org/wiki/Thomas_Crapper,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Ed Currie,Ed,Currie,chili pepper breeder,food,,United States,,,semantic,3,Currie,"Curry dishes commonly use chili peppers, his breeding specialty.",,birth_name,https://en.wikipedia.org/wiki/Ed_Currie,,https://en.wikipedia.org/wiki/Aptronym,,verified
